Team,AVG,OBP,SLG,OPS
MLB,16,189,3,093,254,2,127
MLB,66.5,82.6,28.0,55.0
MLB,26.4,23.8,7.1,38.8
MLB,16,189,3,093,254,2,127
MLB,66.5,82.6,28.0,55.0
MLB,26.4,23.8,7.1,38.8
2025-06-09,178,31,2,19
2025-06-08,234,48,3,32
2025-06-07,252,39,2,42
2025-06-06,242,44,5,32
2025-06-05,237,44,0,34
2025-06-04,196,48,5,18
2025-06-03,238,36,2,36
2025-06-02,125,31,1,16
2025-06-01,203,37,3,22
2025-05-31,266,54,5,46
2025-05-30,265,47,5,40
2025-05-29,101,20,0,13
2025-05-28,230,52,2,24
2025-05-27,250,40,4,34
2025-05-26,165,28,1,18
2025-05-25,243,62,5,23
2025-05-24,289,54,5,25
2025-05-23,256,49,6,31
2025-05-22,138,20,4,16
2025-05-21,241,38,3,42
2025-05-20,220,50,4,26
2025-05-19,219,58,7,24
2025-05-18,219,41,3,28
2025-05-17,252,54,6,37
2025-05-16,260,48,6,29
2025-05-15,95,16,0,20
2025-05-14,298,52,3,49
2025-05-13,213,40,3,39
2025-05-12,185,31,3,26
2025-05-11,242,48,3,32
2025-05-10,253,43,8,40
2025-05-09,247,51,5,32
2025-05-08,169,33,3,13
2025-05-07,247,51,3,28
2025-05-06,254,48,0,29
2025-05-05,147,24,2,17
2025-05-04,299,46,6,32
2025-05-03,222,36,4,33
2025-05-02,235,42,1,34
2025-05-01,173,26,1,25
2025-04-30,262,31,4,39
2025-04-29,260,48,5,42
2025-04-28,159,34,2,18
2025-04-27,272,64,5,26
2025-04-26,274,56,4,35
2025-04-25,215,50,5,14
2025-04-24,134,27,1,19
2025-04-23,241,44,3,23
2025-04-22,255,55,4,34
2025-04-21,129,17,2,19
2025-04-20,271,45,3,28
2025-04-19,248,55,6,40
2025-04-18,240,53,3,35
2025-04-17,164,23,3,24
2025-04-16,228,42,4,29
2025-04-15,234,49,4,32
2025-04-14,170,38,2,29
2025-04-13,216,43,5,26
2025-04-12,232,41,4,30
2025-04-11,212,47,3,25
2025-04-10,95,21,0,12
2025-04-09,219,30,5,31
2025-04-08,232,43,8,25
2025-04-07,158,28,4,14
2025-04-06,262,54,4,24
2025-04-05,240,51,7,33
2025-04-04,250,51,4,31
2025-04-03,79,20,2,11
2025-04-02,214,41,1,30
2025-04-01,171,28,2,23
2025-03-31,255,53,4,39
2025-03-30,189,39,1,33
2025-03-29,243,47,1,35
2025-03-28,136,27,1,20
2025-03-27,207,30,4,40
2025-03-19,15,5,0,3
2025-03-18,10,3,0,0